"","Location","Date","Nesting","FalseCrawls","Total","state"
"156","Sunset Beach plus Bird Island","5/20/2016",1,0,1,"NC"
"157","Topsail Island","5/20/2016",0,0,0,"NC"
"161","Bald Head Island","5/21/2009",0,1,1,"NC"
"162","Carolina Beach","5/21/2009",0,1,1,"NC"
"163","Oak Island","5/21/2009",1,0,1,"NC"
"164","Bald Head Island","5/21/2011",1,0,1,"NC"
"165","Cape Hatteras NS","5/21/2011",0,1,1,"NC"
"166","Caswell Beach","5/21/2011",1,0,1,"NC"
"167","Topsail Island","5/21/2011",0,1,1,"NC"
"168","Bald Head Island","5/21/2012",1,1,2,"NC"
"169","Cape Hatteras NS","5/21/2012",3,0,3,"NC"
"170","Cape Lookout NS","5/21/2012",0,1,1,"NC"
"171","Caswell Beach","5/21/2012",2,0,2,"NC"
"172","Fort Fisher SRA","5/21/2012",1,0,1,"NC"
"173","Hammocks Beach SP","5/21/2012",0,1,1,"NC"
"174","Holden Beach","5/21/2012",0,4,4,"NC"
"175","Lea-Hutaff Island","5/21/2012",1,0,1,"NC"
"176","Oak Island","5/21/2012",3,8,11,"NC"
"177","Topsail Island","5/21/2012",0,1,1,"NC"
"178","Bald Head Island","5/21/2013",0,1,1,"NC"
"179","Oak Island","5/21/2013",1,0,1,"NC"
"180","Bald Head Island","5/21/2015",1,0,1,"NC"
"181","Figure 8 Island","5/21/2015",1,0,1,"NC"
"182","Fort Fisher SRA","5/21/2015",0,1,1,"NC"
"183","Oak Island","5/21/2015",1,0,1,"NC"
"184","Cape Hatteras NS","5/21/2016",0,4,4,"NC"
"185","Cape Lookout NS","5/21/2016",1,5,6,"NC"
"186","Caswell Beach","5/21/2016",0,0,0,"NC"
"187","Onslow Beach","5/21/2016",1,1,2,"NC"
"188","Topsail Island","5/21/2016",0,1,1,"NC"
"189","Wrightsville Beach","5/21/2016",0,1,1,"NC"
"194","Cape Hatteras NS","5/22/2009",1,0,1,"NC"
"195","Oak Island","5/22/2009",1,0,1,"NC"
"196","Wrightsville Beach","5/22/2009",0,1,1,"NC"
"197","Caswell Beach","5/22/2010",1,0,1,"NC"
"198","Bald Head Island","5/22/2011",1,0,1,"NC"
"199","Caswell Beach","5/22/2011",1,0,1,"NC"
"200","Oak Island","5/22/2011",1,0,1,"NC"
"201","Topsail Island","5/22/2011",1,0,1,"NC"
"202","Bald Head Island","5/22/2012",1,0,1,"NC"
"203","Cape Hatteras NS","5/22/2012",1,0,1,"NC"
"204","Cape Lookout NS","5/22/2012",2,0,2,"NC"
"205","Caswell Beach","5/22/2012",1,0,1,"NC"
"206","Fort Fisher SRA","5/22/2012",1,0,1,"NC"
"207","Hammocks Beach SP","5/22/2012",1,2,3,"NC"
